species_name,climate_zone,soil_type,rainfall_mm,altitude_m,growth_rate,survival_rate,suitability_score
Teak,tropical,loam,1800,350,1.5,0.88,82.4
Acacia mangium,tropical,sandy_loam,2200,120,2.5,0.91,87.6
Eucalyptus pellita,tropical,sandy,1600,200,3.0,0.85,79.3
Scots Pine,boreal,sandy,550,680,0.9,0.93,68.1
Norway Spruce,boreal,sandy_loam,700,520,0.8,0.90,65.7
Oak,temperate,loam,800,310,0.6,0.95,71.2
Mahogany,tropical,clay_loam,2400,180,1.2,0.82,76.8
Sengon,tropical,loam,2100,90,3.5,0.78,88.5
Neem,arid,sandy_loam,450,400,1.3,0.89,73.4
Moringa,arid,sandy,320,280,1.8,0.86,69.9
Bamboo (Moso),subtropical,loam,1500,600,3.0,0.92,84.0
Black Locust,temperate,sandy,650,450,1.1,0.87,66.3
Jabon,tropical,clay,2800,60,2.8,0.80,81.7
Rubber Tree,tropical,loam,1900,150,1.0,0.84,74.5
Gmelina,tropical,sandy_loam,1700,220,2.2,0.83,78.2
